artista,bio_resumen,listeners
Shakira,"Shakira Isabel Mebarak Ripoll is a Colombian singer. Born and raised in Barranquilla, She made her recording debut with Sony Music Colombia at the age of 13. Following the commercial failure of her first two albums, Magia (1991) and Peligro (1993), she rose to prominence in Hispanic countries with her next albums, Pies Descalzos (1995) and Dónde Están los Ladrones? (1998). She entered the English-language market with her fifth album, Laundry Service (2001), which sold over 13 million copies worldwide.",4694886
Feid,"Salomón Villada Hoyos, also known as Ferxxo or Feid, is a prominent Colombian singer and songwriter in urban music. Born on August 19, 1992, in Medellín, Colombia, he developed a passion for music from a young age and participated in music extension courses with his parents. Starting with the clarinet, he later shifted his focus to his voice and became a member of the University of Antioquia choir.

Since 2015, Feid has dedicated himself to singing and songwriting",604784
Quevedo,Pedro Luis Domínguez Quevedo es un cantante de música urbana y rapero español radicado en Canarias.​​,362027
Kapo,The band Kapo was formed in 2006 by Joe Muller and David Gorena. The two were juniors in high school when Kapo was formed.,127452
Nicky Jam,"Nick Rivera Caminero better known as Nicky Jam was born to a Puerto Rican father and a Dominican mother in 1980 in Boston Massachussets which he live in until he was six and moved to 
Barrio Obrero, P.R. He is a reggaeton artist known for hits like:
""Me Voy Pa'l Party"" ""Chambonea"" 
""No Soy Tu Marido"" ""I'm Not Your Husband"" which is a remix in spanglish of ""No Soy Tu Marido""",998509
De La Rose,,67466
Ñengo Flow,"Edwin Rosa, publicly popular as ""Ñengo Flow"" is a hip hop artist and composer of Puerto Rican music. Its fast and complex letters have referred to as the ""Real G"" urban type.

Flow Ñengo born on October 15, 1981 in the town of Rio Piedras. This great rapper grew and raised in the town of Bayamon, Puerto Rico. It is there since childhood he was interested the world of urban music. His beginnings as a rapper were developed with letters of the street, everyday living Edwin Rosa.",225904
Mora,"There are at least two artists with the name Mora, one being a Puerto Rican singer and the other being a Slovenian metal band.

1) Mora is a Puerto Rican singer and producer.

2) MORA had their first appearance in the metal world on November 23rd 2007, when they introduced themselves for the first time to their home crowd after just a few weeks of practice. Then with Jupoll (Vocals, Guitar), Nazgul (Guitar), Scavenger (Bass, Back Vocals) and Zli (Drums).",425444
Arcángel,"Austin Santos, conocido como Arcangel, nació en Nueva York el 23 de diciembre de 1985. Honrando su ascendencia puertorriqueño-dominicana, se trasladó a Puerto Rico en 1999 para dedicarse al reggaetón.

En 2007, Arcangel comenzó su carrera solo trabajando en un sencillo con DJ Nelson, considerado el padrino del reggaetón. La canción, “Chica Virtual”, apareció en el álbum de recopilación de Nelson “Flow La Discoteka 2” y se hizo popular en las radios urbanas.",404841
Romeo Santos,"Anthony ""Romeo"" Santos (born July 21, 1981) is an American singer, featured composer and lead singer of the Bachata group Aventura. As a member of Aventura, Santos has been a key figure in popularizing Bachata, with hits reaching near the top of the Billboard Latin charts and the top of charts in Europe. In 2002, the band's song ""Obsesión"" was number one in Italy for sixteen consecutive weeks. Santos was born in The Bronx, New York, United States to a Dominican father and a Puerto Rican mother.",747357
J Balvin,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton",1670304
Dei V,,124159
KAROL G,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004.",1349410
Farruko,"Farruko is a reggaeton and Latin pop singer from Puerto Rico. His given name is Carlos Efren Reyes, and he was born in Bayamon, Puerto Rico in 1991. At the age of 16, he began to post his songs under his stage name to MySpace. His first single, ""Sexo Fuera del Planeta,"" gained thousands of followers, and from there he explored the potential of other social media networks. Due to his massive success on the Internet, he came to the attention of Puerto Rican radio and music industry executives, who enlisted his vocal talents for other artists.",772643
Maluma,"Juan Luis Londoño Arias (Born January 28, 1994, Medellín, Colombia), is a singer of Colombian nationality. He began his musical career at an early age in his hometown of Medellín, there has developed an established career in Latin America, becoming nominated for several awards from major musical relevance.

Prior to serving as a singer, Maluma started in football, a sport he practiced for eight years in a row, reaching the lower divisions of the equipment Atlético Nacional and La Equidad.",948595
Ozuna,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León.",875122
Daddy Yankee,"Ramón ""Raymond"" Luis Ayala Rodríguez (born February 3, 1977), known artistically as Daddy Yankee, is a Latin Grammy Award winning Puerto Rican reggaeton recording artist. Ayala was born in Río Piedras, the largest district of San Juan, Puerto Rico, where he became interested in music at a young age. In his youth he was interested in baseball, and aspired to become a Major League Baseball player. He was unable to continue this sport when he got shot in the leg by being mistaken for his friend by a unknown man",2107137
Bill Evans,"There are at least three artists with this name: a jazz pianist, a jazz saxophonist and a banjo player.

1.) Bill Evans (born William John Evans; 16th August 1929-15th September 1980) was one of the most famous jazz pianists of the twentieth century. Along with McCoy Tyner and Oscar Peterson, he was the force behind the biggest evolution in jazz piano since Art Tatum and Bud Powell. 

His use of impressionistic harmony, his inventive interpretation of traditional jazz repertoire",1147236
berlioz,A scrumptious blend of Jazz and House music by Jasper Edward Attlee and Robin Phillips.,766137
The Andrews Sisters,"The Andrews Sisters were a group of singing sisters: LaVerne Andrews (contralto; July 6, 1911-May 8, 1967), Maxene Andrews (high harmony; January 3, 1916-October 21, 1995) and Patty Andrews (lead; February 16, 1918-January 30, 2013). All were born in Minnesota, United States to a Greek immigrant father and a Norwegian American mother.

“Patty Andrews, the lead singer of the Andrews sisters group was born in Mound, Minnesota on February 16, 1918 in a house that occupied the property where The Gillespie Center stands today.",575235
Tulus,"There are multiple artists under the name Tulus

1.  Tulus is a Norwegian  Black Metal Band , formed in 1991 in Oslo. It later evolved into the band Khold. After Khold went on hold in 2006, Blodstrup and Sarke resurrected Tulus. Tulus has a “fourth member”: Blodstrup’s wife, Hildr (Hilde Nymoen), who writes all lyrics for both Tulus and Khold.

2. Tulus (born Muhammad Tulus; August 20, 1987 in Bukittinggi, West Sumatera, Indonesia), is an Indonesian pop jazz singer from Bandung, Indonesia.",98081
Miles Davis,"Miles Davis (Miles Dewey Davis III, Alton, Illinois, May 26, 1926 – Santa Monica, California, September 28, 1991) was an American trumpeter, bandleader and composer.

Widely considered one of the most influential musicians of the 20th century, Miles Davis was, with his musical groups, at the forefront of several major developments in jazz music, including bebop, cool jazz, hard bop, modal jazz, and jazz fusion. Many well-known musicians rose to prominence as members of Davis' ensembles",2338479
Madeleine Peyroux,"Madeleine Peyroux is a jazz singer who was born in 1974 in Athens, Georgia, USA, and raised in New York City and Paris, France. She is noted for her vocal style, which is highly reminiscent of Billie Holiday. Madeleine also has qualities similar to Ella Fitzgerald. Though Peyroux may remind some listeners of Holiday, there are differences, and she has her own sense of phrasing and interpretation.

Peyroux started singing at the age of fifteen, when she discovered street musicians in the Latin Quarter in Paris.",990322
George Benson,"George Benson is a jazz guitarist born in Pittsburgh, Pennsylvania, USA on 22 March 1943. He started out playing straight-ahead instrumental jazz with organist Jack McDuff. Benson got his first experience playing with his several-year stint with McDuff's group. In 1964, at the age of 21, Benson recorded his first album as leader, The New Boss Guitar, with Brother Jack McDuff on organ.

Benson's next recording was It's Uptown with the George Benson Quartet with Lonnie Smith on organ and Ronnie Cuber on baritone sax.",1108036
Eartha Kitt,"Eartha Mae Kitt (January 17, 1927 - December 25, 2008), was an American actress, singer, and cabaret star. She was perhaps best known for her 1953 Christmas song Santa Baby. Orson Welles once called her the ""most exciting woman in the world"". She took on the role of Catwoman for the fourth season of the 1960s Batman TV series, replacing Julie Newmar who was unavailable for the final series.

Born in tiny North, South Carolina to Mamie Kitt, who was of Cherokee and African-American descent",1088597
Carla Bruni,"Carla Bruni-Sarkozy (born Carla Gilberta Bruni Tedeschi, December 23, 1967 in Turin, Italy) is an Italian-born, naturalized French songwriter, singer, former model and the spouse of the former president of France, Nicolas Sarkozy.

 At the age of 5, her family left for Paris. When she was 19, she decided to stop studying art and architecture, to become a full-time model.

She was a very successful fashion model until 1998. Since then she has devoted herself to chanson.",973133
John Coltrane,"John William Coltrane (Hamlet, North Carolina, September 23, 1926  – Huntington, New York, July 17, 1967) was an American jazz  saxophonist and composer.

American jazz great John Coltrane emerged in the 1950s, playing tenor and soprano sax with Dizzy Gillespie, Miles Davis and Thelonious Monk. A leader of ""hard bop"", in the 1960s he led his own groups and changed the face of jazz with experimentation and improvisation, his later recordings reflecting his belief that music was a form of spiritual expression.",1715575
Black Gryph0n,"Gabriel C. Brown (born February 2nd, 1990) is an American singer-songwriter, actor, and animator. In My Little Pony Friendship is Magic, he is an uncredited background choir vocalist, singing in songs for season five and My Little Pony Equestria Girls: Friendship Games. Brown first became involved in the series through fellow voice actor Michelle Creber, with whom Brown shares the same voice-acting agent. Following his audition, he was cast as a choir singer and lent his vocals to In Our Town.",270931
Karen Souza,"While Karen Souza´s voice may sound like it was made for jazz, she is in fact a relative newcomer to this genre of music. Her career began under various psydeonymns as she provided vocal support to a number of electronic music producers and was part of several International House hits. 

She can be found singing under these pseudonymns on albums such as Pacha Ibiza, FTV (FashionTV), Paris Dernier, Hotel Costes and Privé. She had just begun to flirt",227541
João Gilberto,"João Gilberto (João Gilberto Prado Pereira de Oliveira, Juazeiro, Bahia, Brazil, June 10, 1931 - July 6, 2019) was a Brazilian singer, acoustic guitarist and ocasional songwriter, considered one of the creators of bossa nova with Antônio Carlos Jobim and Vinícius de Moraes. One of his most famous nicknames is ""Pai da Bossa Nova"" (Father of Bossa Nova).

A self-taught guitarist and singer, Gilberto moved to Rio de Janeiro in 1950 and joined the vocal group Garotos da Lua (""The Boys of the Moon"") as their lead singer.",857676
Jamie Cullum,"Jamie Cullum (born 20 August 1979) is an English jazz singer-songwriter, and multi-instrumentalist. Though he is a primarily a vocalist, he also accompanies himself on instruments including piano, guitar and drums.

Cullum was born in Romford, East London. He was brought up in Hullavington, Wiltshire, and educated at the independent fee-paying Grittleton House School and the sixth form at Sheldon School. He then went on to study English Literature, and minored in Film Studies, at Reading University where he graduated with First Class Honours.",1326325
Chet Baker,"Chesney Henry ""Chet"" Baker, Jr. (December 23, 1929 – May 13, 1988) was an American jazz trumpeter, flugelhornist and vocalist.
Baker earned much attention and critical praise through the 1950s, particularly for albums featuring his vocals (Chet Baker Sings, It Could Happen to You). Jazz historian David Gelly described the promise of Baker's early career as ""James Dean, Sinatra, and Bix, rolled into one."" His well-publicized drug habit also drove his notoriety and fame",1805115
Kenny G,"Kenneth Bruce Gorelick (born June 5, 1956 in Seattle, WA), better known by his stage name Kenny G, is a Grammy winning American saxophonist. His fourth album, Duotones, brought him breakthrough success in 1986. Kenny G's main instrument is the soprano saxophone, but he also on occasion plays alto and tenor saxophone. He started playing the saxophone when he was 10 years old, in 1966. 

Kenny G has long been the musician many jazz listeners love to hate.",585573
Billie Holiday,"Billie Holiday (Eleanora Fagan Gough, Philadelphia, PA, April 7, 1915 – New York City, NY, July 17, 1959) was an American jazz singer and songwriter.

Nicknamed Lady Day by her loyal friend and musical partner Lester Young, Holiday was a highly original influence on jazz and pop singing. Her vocal style, strongly inspired by jazz instrumentalists, pioneered a new way of manipulating phrasing and tempo. Above all, she was admired for her deeply personal and intimate approach to singing.",2311031
Stan Getz,"Stan Getz (Stanley Gayetzky, February 2, 1927  Philadelphia   –  June 6, 1991 Malibu, California) was an American jazz tenor saxophone player. Known as ""The Sound"" because of his warm, lyrical tone, Getz's prime influence was the wispy, mellow tone of his idol, Lester Young.

His parents were Ukrainian Jews who immigrated from Kyiv city, Ukraine in 1903. The family later moved to New York City for better jobs. Stan worked hard in school receiving straight ""A's"" on average and finished 6th grade close to the top of his class.",1549267
Frank Sinatra,"Francis Albert Sinatra (December 12, 1915 – May 14, 1998) was an American singer, actor, and producer who was one of the most popular and influential musical artists of the 20th century. He is one of the best-selling music artists of all time, having sold more than 150 million records worldwide. 

Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey. Sinatra found success as a solo artist after he signed with Columbia Records in 1943",4771941
Diana Krall,"Diana Krall was born into a musical family in Nanaimo, British Columbia, Canada (on November 16, 1964). She began learning the piano at the age of four. In high school, she started playing in a small jazz group. At the age of fifteen, she started playing regularly in several Nanaimo restaurants. She also spent some time in Toronto studying with Canadian Jazz great, Don Thompson (Bass/Piano) and with the  support of the Canada Council for the Arts she moved to the U.S to continue studies and develop her career.",1337444
Rubén Blades,"Rubén Blades (born July 16, 1948) is a Panamanian salsa singer, songwriter, actor and politician. As songwriter, Blades brought the lyrical sophistication of South American nueva canción and Cuban nueva trova to salsa, creating thinking persons' dance music. He remains wildly popular in that country and much admired throughout Latin America, and he managed to attract 20% of the vote in his failed attempt to win the Panamanian presidency in 1994.",174755
Antônio Carlos Jobim,"Antônio Carlos Brasileiro de Almeida Jobim (January 25, 1927 – December 8, 1994), also known as Tom Jobim, was a Brazilian composer, pianist, songwriter, arranger and singer. Widely considered as one of the great exponents of Brazilian music, Jobim internationalized bossa nova and, with the help of important American artists, merged it with jazz in the 1960s to create a new sound with remarkable popular success. As such he is sometimes known as the ""father of bossa nova"".",1126191
Tony Bennett,"Anthony Dominick Benedetto, known professionally as Tony Bennett, was an American singer of traditional pop standards, big band, show tunes and jazz. He is also a painter, having created works under his birth name that are on permanent public display in several institutions. He is the founder of the Frank Sinatra School of the Arts in Astoria, Queens, New York.

Bennett began singing at an early age. He fought in the final stages of World War II as a U.",1719382
Etta James,"Etta James (1938-2012) was a U.S.  blues, soul, R&B, rock & roll, and jazz singer and songwriter. She is the winner of four Grammies, seventeen Blues Music Awards, and was inducted into the Rock & Roll Hall of Fame (in 1993), the Blues Hall of Fame (in 2001), and the Grammy Hall of Fame (in both 1999 and 2008).

James was born Jamesetta Hawkins in Los Angeles, California, on 25th January 1938, to an unmarried fourteen-year-old mother, Dorothy Hawkins.",2211981
Buena Vista Social Club,"Buena Vista Social Club was a musical ensemble primarily made up of Cuban musicians, formed in 1996. The project was organized by World Circuit executive Nick Gold, produced by American guitarist Ry Cooder and directed by Juan de Marcos González. They named the group after the members' club of the same name in the Buenavista quarter of Havana, a popular music venue in the 1940s. To showcase the popular styles of the time, such as son, bolero and danzón, they recruited a dozen veteran musicians, some of whom had been retired for many years.",1038572
Paloma Faith,"Paloma Faith (born Paloma Faith Blomfield born in Hackney, London on July 21, 1981) is an English singer and actress. Her music is influenced by soul and jazz and her singing style has been compared favourably to that of Amy Winehouse and Duffy.

Her debut single, Stone Cold Sober, was released in June 2009 and entered the British charts at number 17, while her second single New York reached number 15. Her debut album Do You Want the Truth or Something Beautiful? was released on 28 September 2009",1164115
Eliza Doolittle,"Eliza Sophie Caird (born 15 April 1988), better known by her stage name Eliza Doolittle, is an English singer songwriter from London. She signed to the Parlophone record label in October 2008. Her debut, self-titled album, Eliza Doolittle was released on 12 July 2010. On debut it was number 3 in the UK charts. Since the album's release, Doolittle has had another two of her records hit the top 25 charts, including her single Skinny Genes. Doolittle's second single",430479
Zaz,"Isabelle Geffroy, born 1 May 1980, known by the pseudonym ZAZ, is a singer from Tours, France, who blends the styles nu jazz, soul and acoustic in her music.

In 2001, she started her singing career in the blues band ""Fifty Fingers"". She sang in musical groups in Angoulême, especially in a jazz quintet. She became one of the four singers of Izar-Adatz (Shooting Star), a variety band which consisted of sixteen people with whom she toured for two years, especially in the Midi-Pyrenees and the Basque Country.",570035
Nina Simone,"Eunice Kathleen Waymon (21 February 1933 – 21 April 2003), better known by her stage name Nina Simone, was an American singer, pianist, arranger, and civil rights activist widely associated with jazz music. Simone aspired to become a classical pianist while working in a broad range of styles including classical, jazz, blues, soul, folk, rhythm and blues, gospel, and pop.

Simone was born Eunice Kathleen Waymon on 21st February 1933 in Tryon, North Carolina, USA, one of eight children.",2902905
Robbie Williams,"Robert Peter Williams (born 13 February 1974) is an English singer and songwriter. He found fame as a member of the pop group Take That from 1990 to 1995, and achieved commercial success after launching a solo career in 1996. His debut studio album, Life thru a Lens, was released in 1997, and included his signature song, ""Angels"". His second album, I've Been Expecting You, featured the songs ""Millennium"" and ""She's the One"", his first number one singles.",2784602
Nat King Cole,"Nat ""King"" Cole (March 17th 1919–February 15th  1965) was a popular American singer and jazz musician. 

As a piano player, he formed a jazz trio in 1938 that played Los Angeles nightclubs, one of the first jazz trios featuring guitar and piano. Prior to this he had played music since he was a child and had worked with bands since he was sixteen. He was raised in Chicago and exposed to the abundant jazz scene there. He was heavily influenced by pianist Earl ""Fatha"" Hines.",2942139
Leslie Odom Jr.,"Leslie Odom, Jr (born August 6, 1981) is an American actor and singer. He has performed on Broadway and in television and film, as well as in other theatrical productions. 
He is best known for the roles of Aaron Burr in the 2015 musical Hamilton and Sam Strickland in the 2013 musical television series Smash.",807173
Ray Charles,"Ray Charles (Ray Charles Robinson,  Albany, Georgia, September 23, 1930 - Beverly Hills, California, June 10, 2004), was an American singer-songwriter, musician, arranger, and band leader. 

As a rock and roll, rhythm & blues, soul, blues, jazz, country and pop musician he helped to shape the sound of rhythm & blues.

He brought a soulful sound to everything from country music (""I Can't Stop Loving You"") to rock and roll (""Mess Around""), to pop standards to a now-iconic rendition of ""America the Beautiful.",2754921
Vince Guaraldi Trio,"The Vince Guaraldi Trio was a jazz group fronted by pianist and composer Vince Guaraldi. Most well-known in its acoustic piano-drums-bass configuration, the trio provided music for a number of animated productions of Charles M. Schulz's Peanuts comic strips. Guaraldi's distinctively breezy, bluesy, and melancholy jazz has become an indelible part of Peanuts' timeless legacy. Their soundtrack for the 1965 Christmas special, A Charlie Brown Christmas, is one of the biggest-selling and most critically successful Christmas albums of all time.",1202410
"Earth, Wind & Fire","Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk.",2838867
Dean Martin,"Dean Martin (born Dino Paul Crocetti; June 7, 1917 – December 25, 1995) was an American singer, actor, comedian, and producer. One of the most popular and enduring American entertainers of the mid-20th century, Martin was nicknamed the ""King of Cool"" for his seemingly effortless charisma and self-assurance. 

He and Jerry Lewis formed the immensely popular comedy duo Martin and Lewis, with Martin serving as the straight man to Lewis' slapstick hijinks.",2853349
Louis Armstrong,"Louis Armstrong (August 4, 1901 - July 6, 1971) nicknamed Satchmo or Pops, was an American jazz trumpeter and singer from New Orleans, Louisiana.
Coming to prominence in the 1920s as an inventive trumpet and cornet player, Armstrong was a foundational influence in jazz, shifting the focus of the music from collective improvisation to solo performance. With his instantly-recognizable gravelly voice, Armstrong was also an influential singer, demonstrating great dexterity as an improviser",2931321
Ella Fitzgerald,"Ella Jane Fitzgerald (April 25, 1917 – June 15, 1996) was an American jazz vocalist with a vocal range spanning three octaves (D♭3 to D♭6). Often referred to as the ""First Lady of Song"" and the ""Queen of Jazz"" or just simply ""Lady Ella"", she was noted for her purity of tone, impeccable diction, phrasing and intonation, and a ""horn-like"" improvisational ability, particularly in her scat singing.
Fitzgerald was a notable interpreter of the Great American Songbook.",2869113
Bing Crosby,"Harry Lillis ""Bing"" Crosby Jr. (/ˈkrɒzbi/; May 3, 1903 – October 14, 1977) was an American singer, comedian and actor. The first multimedia star, Crosby was a leader in record sales, radio ratings, and motion picture grosses from 1931 to 1954. His early career coincided with recording innovations that allowed him to develop an intimate singing style that influenced many male singers who followed him, including Perry Como, Frank Sinatra, Dick Haymes, and Dean Martin.",2032405
Led Zeppelin,"Led Zeppelin were an English rock band formed in London in 1968. The group consisted of Robert Plant on vocals, Jimmy Page on guitar, John Paul Jones on bass and keyboards, and John Bonham on drums. Known for a heavy, guitar-based sound that drew from blues and folk traditions, they are widely regarded as a major influence on the development of hard rock and heavy metal. They became one of the best-selling music artists in history and helped shape album-oriented rock and stadium rock.",4831915
Muse,"Muse is an English rock band from Teignmouth, Devon, formed in 1994. The band consists of Matt Bellamy (lead vocals, guitar, keyboards), Chris Wolstenholme (bass guitar, backing vocals), and Dominic Howard (drums, percussion).

Muse released their debut album, ""Showbiz,"" in 1999, which featured Bellamy's falsetto and a melancholic alternative rock style. Their second album, ""Origin of Symmetry"" (2001), incorporated wider instrumentation and classical influences and contributed to their reputation for energetic live performances.",6226338
Keane,"Keane is an English alternative rock band from East Sussex, formed in 1995. They met while at Tonbridge School together. The band currently comprises Tom Chaplin (lead vocals, electric/acoustic guitar), Tim Rice-Oxley (piano, synthesisers, bass guitar, backing vocals), Richard Hughes (drums, percussion, backing vocals), and Jesse Quin (bass guitar, acoustic/electric guitar, backing vocals). Their original line-up included founder and guitarist Dominic Scott, who left in 2001.",3931933
Green Day,"Green Day is an American rock band formed in Rodeo, California, in 1987, by lead singer and guitarist Billie Joe Armstrong and bassist and backing vocalist Mike Dirnt, with drummer Tré Cool joining in 1990. The band’s major-label debut, ""Dookie,"" released through Reprise Records in 1994, achieved commercial success, eventually shipping over 20 million copies in the United States, and has been credited with renewing mainstream interest in punk rock.",6409125
The Killers,"There are multiple artists using this name:

1. The Killers is an American rock band from Las Vegas, Nevada, formed in 2001. 
They got the name from the fictional band The Killers in the video for New Order's song Crystal. 
As of 2021, the band has released six studio albums, which have sold 28 million records worldwide. 

The Early Years
Initially, The Killers played at large clubs in Las Vegas. With the band's line-up stable and their repertoire of songs expanding",6767812
Bunbury,,147289
The Offspring,"The Offspring is a punk rock band formed in Huntington Beach, California, United States in 1984. From 1987 to 2003, the band's line-up included Dexter Holland (lead vocals, guitar), Noodles (lead and rhythm guitars, back vocals), Greg K. (bass, back vocals), and Ron Welty (drums, percussion), who was fired in 2003. Their current drummer is Brandon Pertzborn of Marilyn Manson who has been with the band since 2023. Greg K was fired from the band in 2018 and was replaced by Todd Morse.",4467977
Andrés Calamaro,"Andres Calamaro is one of the most popular Argentinian pop-rock songwriters. A songs craftsman, as he likes to consider himself.

Born Aug 22, 1961 in Buenos Aires, Argentina, he began his professional musical career at the age of 17 playing keyboards in Raíces.
In 1981 he incorporated to one of the main bands of the Argentinean '80s rock scene: Los Abuelos de la Nada. Although the band was led by the brilliant Miguel Abuelo, Calamaro composed most of the band's hits",441216
David Bowie,"David Robert Jones (8 January 1947 – 10 January 2016), known professionally as David Bowie, was an English singer-songwriter and actor. A leading figure in the music industry, he is regarded as one of the most influential musicians of the 20th century. Bowie was acclaimed by critics and musicians, particularly for his innovative work during the 1970s. His career was marked by reinvention and visual presentation, and his music and stagecraft had a significant impact on popular music.",5432905
U2,"U2 are an Irish rock band formed in Dublin in 1976. The group comprises Bono (lead vocals and rhythm guitar), the Edge (lead guitar, keyboards, and backing vocals), Adam Clayton (bass guitar), and Larry Mullen Jr. (drums and percussion). Initially rooted in post-punk, U2's musical style has evolved throughout their career, yet has maintained an anthemic quality built on Bono's expressive vocals and the Edge's chiming, effects-based guitar sounds. Bono's lyrics",4944626
Nirvana,"There are multiple artists tracked as ""Nirvana"" on Last.fm. Following are six, listed in order of prominence:

1) Nirvana was a popular and highly influential American grunge band. The band formed in Aberdeen, Washington in 1987, and it was part of the Seattle grunge scene of the late 80s, alongside bands like Pearl Jam, Alice in Chains and Soundgarden. As their popularity rose, alternative rock became a dominant genre on American and Canadian radio and music television during the early-to-mid '90s.",7342989
The Cranberries,"The Cranberries were an Irish rock band formed in Limerick in 1989. The group consisted of lead vocalist and guitarist Dolores O’Riordan, guitarist Noel Hogan, bassist Mike Hogan, and drummer Fergal Lawler. O’Riordan joined the band in 1990, replacing founding member Niall Quinn, and the group’s name was shortened from The Cranberry Saw Us to The Cranberries following her arrival. Although primarily classified as an alternative rock band, their music incorporated elements of indie rock",4567669
